first,last,state,district,party,healthcare,college_tuition,minimum_wage,wall_street,womens_rights,voting_rights,justice,climate,score
Brenda,Lawrence,MI,14,D,True,,True,,True,True,,,
Sander,Levin,MI,09,D,,,True,,True,True,,,
Keith,Ellison,MN,05,D,True,True,True,,True,True,True,,
Betty,McCollum,MN,04,D,,,True,,True,True,,True,
Richard,Nolan,MN,08,D,True,True,True,True,,True,,,
Collin,Peterson,MN,07,D,,,,,,,,,
Timothy,Walz,MN,01,D,,,True,,,True,,,
Lacy,Clay,MO,01,D,True,,True,,True,,True,,
Emanuel,Cleaver,MO,05,D,True,,,,,,,,
Gregorio,Sablan,MP,Delegate,D,True,,True,,,,,,
Bennie,Thompson,MS,02,D,True,,True,,,,,,
Alma,Adams,NC,12,D,True,,True,,True,True,,,
G.,Butterfield,NC,01,D,True,,True,,True,True,,,
David,Price,NC,04,D,True,,True,,True,,,,
Ann,Kuster,NH,02,D,,,,,,True,,,
Carol,Shea-Porter,NH,01,D,,,True,,,True,,,
Josh,Gottheimer,NJ,05,D,,,True,,,,,,
Donald,Norcross,NJ,01,D,,,True,,True,,,,
Frank,"Pallone, Jr.",NJ,06,D,,True,True,,True,True,True,,
Bill,"Pascrell, Jr.",NJ,09,D,,,True,,,True,,,
Donald,"Payne, Jr.",NJ,10,D,True,,True,,True,True,,,
Albio,Sires,NJ,08,D,True,,True,,,,,,
Bonnie,Watson Coleman,NJ,12,D,True,,True,,True,True,,,
Ben Ray,Luján,NM,03,D,,True,True,,,,,,
Michelle,Lujan Grisham,NM,01,D,,,,,True,True,,,
Ruben,Kihuen,NV,04,D,,,True,,True,True,,,
Jacky,Rosen,NV,03,D,,,,,True,,,,
Dina,Titus,NV,01,D,True,,True,,True,,,,
Yvette,Clarke,NY,09,D,True,,True,,True,True,,,
Joseph,Crowley,NY,14,D,True,,True,,,True,True,,
Eliot,Engel,NY,16,D,True,,True,,True,True,,,
Adriano,Espaillat,NY,13,D,True,True,True,,,True,,,
Brian,Higgins,NY,26,D,True,,True,,,True,,,
Hakeem,Jeffries,NY,08,D,True,,True,,True,True,,,
Nita,Lowey,NY,17,D,True,,True,,True,,,,
Carolyn,Maloney,NY,12,D,True,,True,,True,True,True,,
Sean,Maloney,NY,18,D,,,True,,True,True,,,
Gregory,Meeks,NY,05,D,True,,True,,True,True,,,
Grace,Meng,NY,06,D,True,True,True,,True,True,True,,
Jerrold,Nadler,NY,10,D,True,,True,,True,True,,True,
Kathleen,Rice,NY,04,D,,,True,,True,,,,
José,Serrano,NY,15,D,True,,True,,True,True,True,,
Louise,Slaughter,NY,25,D,True,,True,True,True,True,,,
Thomas,Suozzi,NY,03,D,,,True,,,True,,,
Paul,Tonko,NY,20,D,True,,True,,True,True,,,
Nydia,Velázquez,NY,07,D,True,True,True,,,True,,,
Joyce,Beatty,OH,03,D,True,,True,,True,True,,,
Marcia,Fudge,OH,11,D,True,,True,,True,True,,,
Marcy,Kaptur,OH,09,D,True,,True,,,True,,,
Tim,Ryan,OH,13,D,True,,True,,True,True,,,
Earl,Blumenauer,OR,03,D,True,True,True,True,True,True,True,True,
Suzanne,Bonamici,OR,01,D,True,,True,,True,True,,,
Peter,DeFazio,OR,04,D,True,,True,,,True,,,
Kurt,Schrader,OR,05,D,,,,,,,,,
Brendan,Boyle,PA,13,D,True,,True,,,True,,,
Robert,Brady,PA,01,D,True,,True,,True,,,,
Matt,Cartwright,PA,17,D,True,,True,,,True,,True,
Michael,Doyle,PA,14,D,True,,True,,,,,,
Dwight,Evans,PA,02,D,True,,True,,True,True,True,,
David,Cicilline,RI,01,D,True,True,True,,True,,,,
James,Langevin,RI,02,D,True,True,True,,,True,,,
James,Clyburn,SC,06,D,True,,True,,,,,,
Steve,Cohen,TN,09,D,True,,True,,True,True,,,
Jim,Cooper,TN,05,D,True,,,,,True,,,
Joaquin,Castro,TX,20,D,,,True,,,True,,,
Henry,Cuellar,TX,28,D,,,,,,,,,
Lloyd,Doggett,TX,35,D,,,True,,True,True,,,
Vicente,Gonzalez,TX,15,D,True,,,,,,,,
Al,Green,TX,09,D,True,,True,,,,,,
Gene,Green,TX,29,D,True,,True,,,True,,,
Sheila,Jackson Lee,TX,18,D,True,True,True,,,True,,,
Eddie,Johnson,TX,30,D,,,True,True,True,True,,,
Beto,O'Rourke,TX,16,D,,,,,True,True,,,
Marc,Veasey,TX,33,D,True,,True,,True,,,,
Filemon,Vela,TX,34,D,True,,,,,,,,
Donald,"Beyer, Jr.",VA,08,D,,,True,,True,True,,,
Gerald,Connolly,VA,11,D,,,,,True,True,,,
Donald,McEachin,VA,04,D,,,True,,True,True,,,
Robert,Scott,VA,03,D,True,True,,,True,True,,,
Stacey,Plaskett,VI,Delegate,D,,,,,,,,,
Peter,Welch,VT,At Large,D,True,True,True,,True,True,True,,
Suzan,DelBene,WA,01,D,,,True,,True,True,,,
Denny,Heck,WA,10,D,,,True,,True,True,,,
Pramila,Jayapal,WA,07,D,True,,True,True,True,True,True,,
Derek,Kilmer,WA,06,D,,,True,,True,True,,,
Rick,Larsen,WA,02,D,,,True,,True,,,,
Adam,Smith,WA,09,D,True,True,True,,True,True,True,,
Ron,Kind,WI,03,D,,,,,,True,,,
Gwen,Moore,WI,04,D,True,True,True,,True,True,True,,
Mark,Pocan,WI,02,D,True,True,True,True,True,True,,,
