first,last,state,district,party,healthcare,college_tuition,minimum_wage,wall_street,womens_rights,voting_rights,justice,climate,score
John,"Conyers, Jr.",MI,13,D,,True,True,True,True,True,,,
Brenda,Lawrence,MI,14,D,True,,True,,True,True,,,
Timothy,Walz,MN,1,D,,,True,,,True,,,
Betty,McCollum,MN,4,D,,,True,,True,True,,True,
Keith,Ellison,MN,5,D,True,True,True,,True,True,True,,
Collin,Peterson,MN,7,D,,,,,,,,,
Richard,Nolan,MN,8,D,True,True,True,True,,True,,,
Lacy,Clay,MO,1,D,True,,True,,True,,True,,
Emanuel,Cleaver,MO,5,D,True,,,,,,,,
Gregorio,Sablan,MP,Delegate,D,True,,True,,,,,,
Bennie,Thompson,MS,2,D,True,,True,,,,,,
G.,Butterfield,NC,1,D,True,,True,,True,True,,,
David,Price,NC,4,D,True,,True,,True,,,,
Alma,Adams,NC,12,D,True,,True,,True,True,,,
Carol,Shea-Porter,NH,1,D,,,True,,,True,,,
Ann,Kuster,NH,2,D,,,,,,True,,,
Donald,Norcross,NJ,1,D,,,True,,True,,,,
Josh,Gottheimer,NJ,5,D,,,True,,,,,,
Frank,"Pallone, Jr.",NJ,6,D,,True,True,,True,True,True,,
Albio,Sires,NJ,8,D,True,,True,,,,,,
Bill,"Pascrell, Jr.",NJ,9,D,,,True,,,True,,,
Donald,"Payne, Jr.",NJ,10,D,True,,True,,True,True,,,
Bonnie,Watson Coleman,NJ,12,D,True,,True,,True,True,,,
Michelle,Lujan Grisham,NM,1,D,,,,,True,True,,,
Ben Ray,Luján,NM,3,D,,True,True,,,,,,
Dina,Titus,NV,1,D,True,,True,,True,,,,
Jacky,Rosen,NV,3,D,,,,,True,,,,
Ruben,Kihuen,NV,4,D,,,True,,True,True,,,
Thomas,Suozzi,NY,3,D,,,True,,,True,,,
Kathleen,Rice,NY,4,D,,,True,,True,,,,
Gregory,Meeks,NY,5,D,True,,True,,True,True,,,
Grace,Meng,NY,6,D,True,True,True,,True,True,True,,
Nydia,Velázquez,NY,7,D,True,True,True,,,True,,,
Hakeem,Jeffries,NY,8,D,True,,True,,True,True,,,
Yvette,Clarke,NY,9,D,True,,True,,True,True,,,
Jerrold,Nadler,NY,10,D,True,,True,,True,True,,True,
Carolyn,Maloney,NY,12,D,True,,True,,True,True,True,,
