first,last,state,district,party,healthcare,college_tuition,minimum_wage,workers_rights,womens_rights,voting_rights,justice,climate
John,Sarbanes,MD,03,D,4/5/2017,,5/25/2017,2/16/2017,,6/8/2017,,
Mike,Thompson,CA,05,D,4/25/2017,,5/25/2017,,1/31/2017,6/8/2017,,
Doris,Matsui,CA,06,D,4/28/2017,,5/25/2017,,1/31/2017,6/8/2017,,
Diana,DeGette,CO,01,D,4/5/2017,,5/25/2017,,1/31/2017,6/22/2017,,
Ed,Perlmutter,CO,07,D,4/17/2017,,6/13/2017,,1/31/2017,6/15/2017,,
Carolyn,Maloney,NY,12,D,3/22/2017,,5/25/2017,,1/31/2017,6/8/2017,,
Suzanne,Bonamici,OR,01,D,3/16/2017,,5/25/2017,,1/31/2017,6/8/2017,,
Steve,Cohen,TN,09,D,1/24/2017,,5/25/2017,,1/31/2017,6/8/2017,,
Eddie,Bernice Johnson,TX,30,D,,,5/25/2017,2/16/2017,1/31/2017,6/8/2017,,
Jackie,Speier,CA,14,D,2/28/2017,,5/25/2017,,1/31/2017,7/12/2017,,
John,Garamendi,CA,03,D,1/24/2017,,5/25/2017,7/3/2017,,6/8/2017,,
Darren,Soto,FL,09,D,4/28/2017,,5/25/2017,,2/3/2017,7/18/2017,,
Wm.,Lacy Clay,MO,01,D,1/24/2017,,5/25/2017,,1/31/2017,,7/25/2017,
Tulsi,Gabbard,HI,02,D,3/29/2017,,5/25/2017,,,,7/25/2017,
Adriano,Espaillat,NY,13,D,3/22/2017,4/4/2017,5/25/2017,,,,,
Suzan,DelBene,WA,01,D,,,5/25/2017,,1/31/2017,6/8/2017,,
Lucille,Roybal-Allard,CA,40,D,1/24/2017,,5/25/2017,2/16/2017,,,,
Linda,Sánchez,CA,38,D,4/20/2017,,5/25/2017,,1/31/2017,,,
Nanette,Barragán,CA,44,D,3/22/2017,,5/25/2017,,3/23/2017,,,
Robin,Kelly,IL,02,D,1/24/2017,,5/25/2017,,1/31/2017,,,
Luis,Gutiérrez,IL,04,D,2/2/2017,,5/25/2017,,1/31/2017,,,
Danny,Davis,IL,07,D,2/2/2017,,5/25/2017,,1/31/2017,,,
Michael,Capuano,MA,07,D,3/8/2017,,5/25/2017,,1/31/2017,,,
Anthony,Brown,MD,04,D,4/3/2017,,5/25/2017,,,6/8/2017,,
Donald,"Payne, Jr.",NJ,10,D,3/28/2017,,5/25/2017,,1/31/2017,,,
Jerrold,Nadler,NY,10,D,1/24/2017,,5/25/2017,,1/31/2017,,,
Marcy,Kaptur,OH,09,D,1/24/2017,,5/25/2017,,,6/8/2017,,
Robert,Brady,PA,01,D,1/24/2017,,5/25/2017,,2/1/2017,,,
James,Langevin,RI,02,D,,4/4/2017,5/25/2017,,,6/8/2017,,
Marc,Veasey,TX,33,D,5/24/2017,,5/25/2017,,1/31/2017,,,
Jimmy,Panetta,CA,20,D,4/3/2017,,5/25/2017,,,6/8/2017,,
David,Loebsack,IA,02,D,4/6/2017,,6/12/2017,,,6/8/2017,,
David,Price,NC,04,D,4/3/2017,,5/25/2017,,1/31/2017,,,
Dina,Titus,NV,01,D,4/5/2017,,5/25/2017,,1/31/2017,,,
Joseph,Crowley,NY,14,D,5/23/2017,,5/25/2017,,,6/8/2017,,
Brian,Higgins,NY,26,D,3/16/2017,,5/25/2017,,,6/8/2017,,
Peter,DeFazio,OR,04,D,4/3/2017,,5/25/2017,,,6/20/2017,,
Brendan,Boyle,PA,13,D,4/25/2017,,5/25/2017,,,6/8/2017,,
Matt,Cartwright,PA,17,D,1/24/2017,,5/25/2017,,,6/8/2017,,
Gene,Green,TX,29,D,4/3/2017,,5/25/2017,,,6/21/2017,,
Jerry,McNerney,CA,09,D,4/5/2017,,,,1/31/2017,6/8/2017,,
Rosa,DeLauro,CT,03,D,,,5/25/2017,,1/31/2017,6/8/2017,,
Mike,Quigley,IL,05,D,,,5/25/2017,,1/31/2017,6/8/2017,,
Daniel,Kildee,MI,05,D,,,5/25/2017,,1/31/2017,6/8/2017,,
