first,last,state,district,party,healthcare,college_tuition,minimum_wage,workers_rights,womens_rights,voting_rights,justice,climate
John,Sarbanes,MD,03,D,TRUE,,TRUE,TRUE,,TRUE,,
John,Garamendi,CA,03,D,TRUE,,TRUE,TRUE,,TRUE,,
Nydia,Velázquez,NY,07,D,TRUE,TRUE,TRUE,,,TRUE,,
Sheila,Lee,TX,18,D,TRUE,TRUE,TRUE,,,TRUE,,
James,Langevin,RI,02,D,,TRUE,TRUE,,,TRUE,,
Anna,Eshoo,CA,18,D,TRUE,TRUE,TRUE,,,TRUE,,
Anthony,Brown,MD,04,D,TRUE,,TRUE,,,TRUE,,
Marcy,Kaptur,OH,09,D,TRUE,,TRUE,,,TRUE,,
Jimmy,Panetta,CA,20,D,TRUE,,TRUE,,,TRUE,,
David,Loebsack,IA,02,D,TRUE,,TRUE,,,TRUE,,
Joseph,Crowley,NY,14,D,TRUE,,TRUE,,,TRUE,,
Brian,Higgins,NY,26,D,TRUE,,TRUE,,,TRUE,,
Brendan,Boyle,PA,13,D,TRUE,,TRUE,,,TRUE,,
Matt,Cartwright,PA,17,D,TRUE,,TRUE,,,TRUE,,
Terri,Sewell,AL,07,D,,,TRUE,,,TRUE,,
Joe,Courtney,CT,02,D,,,TRUE,,,TRUE,,
Cheri,Bustos,IL,17,D,,,TRUE,,,TRUE,,
John,Delaney,MD,06,D,,,TRUE,,,TRUE,,
Thomas,Suozzi,NY,03,D,,,TRUE,,,TRUE,,
Jim,Cooper,TN,05,D,TRUE,,,,,TRUE,,
Joaquin,Castro,TX,20,D,,,TRUE,,,TRUE,,
Richard,Neal,MA,01,D,,,,,,TRUE,,
Ann,Kuster,NH,02,D,,,,,,TRUE,,
Ron,Kind,WI,03,D,,,,,,TRUE,,
Eliot,Engel,NY,16,D,TRUE,,TRUE,,TRUE,TRUE,,
Henry,"Johnson, Jr.",GA,04,D,TRUE,,TRUE,,TRUE,TRUE,,
Richard,Nolan,MN,08,D,TRUE,TRUE,TRUE,TRUE,,TRUE,,
Carol,Shea-Porter,NH,01,D,,,TRUE,,,TRUE,,
Ruben,Kihuen,NV,04,D,,,TRUE,,,TRUE,,
Ruben,Gallego,AZ,07,D,TRUE,,TRUE,,TRUE,TRUE,,
Dwight,Evans,PA,02,D,TRUE,,TRUE,,TRUE,TRUE,,
Ed,Perlmutter,CO,07,D,TRUE,,TRUE,,TRUE,TRUE,,
Betty,McCollum,MN,04,D,,,TRUE,,TRUE,TRUE,,
Sander,Levin,MI,09,D,,,TRUE,,TRUE,TRUE,,
Peter,DeFazio,OR,04,D,TRUE,,TRUE,,,TRUE,,
Denny,Heck,WA,10,D,,,TRUE,,TRUE,TRUE,,
Gene,Green,TX,29,D,TRUE,,TRUE,,,TRUE,,
Diana,DeGette,CO,01,D,TRUE,,TRUE,,TRUE,TRUE,,
Jackie,Speier,CA,14,D,TRUE,,TRUE,,TRUE,TRUE,,
Beto,O'Rourke,TX,16,D,,,,,TRUE,TRUE,,
A.,Donald McEachin,VA,04,D,,,,,TRUE,TRUE,,
Darren,Soto,FL,09,D,TRUE,,TRUE,,TRUE,TRUE,,
Timothy,Walz,MN,01,D,,,TRUE,,,TRUE,,
Louise,Slaughter,NY,25,D,TRUE,,TRUE,TRUE,TRUE,,,
Pramila,Jayapal,WA,07,D,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Judy,Chu,CA,27,D,TRUE,TRUE,TRUE,,TRUE,,,
Linda,Sánchez,CA,38,D,TRUE,,TRUE,,TRUE,,,
Robin,Kelly,IL,02,D,TRUE,,TRUE,,TRUE,,,
Luis,Gutiérrez,IL,04,D,TRUE,,TRUE,,TRUE,,,
Danny,Davis,IL,07,D,TRUE,,TRUE,,TRUE,,,
Michael,Capuano,MA,07,D,TRUE,,TRUE,,TRUE,,,
Donald,"Payne, Jr.",NJ,10,D,TRUE,,TRUE,,TRUE,,,
Jerrold,Nadler,NY,10,D,TRUE,,TRUE,,TRUE,,,
Marc,Veasey,TX,33,D,TRUE,,TRUE,,TRUE,,,
David,Price,NC,04,D,TRUE,,TRUE,,TRUE,,,
Dina,Titus,NV,01,D,TRUE,,TRUE,,TRUE,,,
Adam,Schiff,CA,28,D,TRUE,,TRUE,,TRUE,,,
